Subtype,Route,Sub-route,Shape,Tumor_model,Cancer_type,Tumor_Vol_Reduction_(%)
Iron_oxide,Local,Intratumoral,Spherical,Xenograft heterotopic,Breast,65.85177631
Iron_oxide,Local,Other,Spherical,Allograft orthotopic,Breast,52.50532018
Iron_oxide,Systemic,IV,Spherical,Allograft heterotopic,Breast,77.87901797
Iron_oxide,Systemic,IV,Spherical,Xenograft orthotopic,Brain,97.70642202
Iron_oxide,Systemic,IV,Spherical,Xenograft heterotopic,Breast,14.28592566
Iron_oxide,Systemic,IV,Spherical,Xenograft heterotopic,Pancreas,31.14035088
Iron_oxide,Systemic,IV,Other,Xenograft heterotopic,Cervix,92.39001189
Iron_oxide,Local,Intratumoral,Spherical,Allograft orthotopic,Breast,98.52952465
Iron_oxide,Systemic,IV,Spherical,Xenograft heterotopic,Colon,82.9258696
Iron_oxide,Local,Intratumoral,Other,Xenograft heterotopic,Skin,95.65210708
Iron_oxide,Systemic,IV,Spherical,Xenograft heterotopic,Brain,98.84393064
Iron_oxide,Systemic,IP,Spherical,Xenograft heterotopic,Other,75.2152603
Iron_oxide,Local,Intratumoral,Spherical,Xenograft orthotopic,Breast,93.7716263
Iron_oxide,Systemic,IV,Spherical,Allograft heterotopic,Breast,95.65606807
Iron_oxide,Systemic,IV,Spherical,Xenograft heterotopic,Lung,62.7272781
Iron_oxide,Local,Intratumoral,Spherical,Xenograft heterotopic,Ovary,58.07856733
Iron_oxide,Local,Intratumoral,Spherical,Xenograft heterotopic,Breast,58.99517889
Iron_oxide,Local,Intratumoral,Spherical,Xenograft heterotopic,Colon,81.56521739
Iron_oxide,Systemic,IV,Spherical,Allograft heterotopic,Skin,98.22710004
Iron_oxide,Systemic,IV,Spherical,Xenograft heterotopic,Liver,100
Iron_oxide,Local,Intratumoral,Spherical,Allograft heterotopic,Other,51.34099617
Iron_oxide,Systemic,IV,Spherical,Xenograft heterotopic,Prostate,62.64656616
Iron_oxide,Systemic,IV,Spherical,Xenograft heterotopic,Breast,65.26179192
Iron_oxide,Systemic,IV,Spherical,Xenograft orthotopic,Brain,77.03927492
Iron_oxide,Local,Intratumoral,Spherical,Xenograft heterotopic,Breast,84.47319778
Iron_oxide,Systemic,IV,Spherical,Xenograft heterotopic,Lung,66.89667058
Iron_oxide,Systemic,Sub-cutaneous,Spherical,Xenograft heterotopic,Breast,97.70491803
Iron_oxide,Local,Intratumoral,Other,Allograft heterotopic,Liver,93.10346911
Iron_oxide,Systemic,IV,Spherical,Xenograft heterotopic,Breast,99.25
Iron_oxide,Local,Sub-cutaneous,Spherical,Xenograft heterotopic,Ovary,73.0427144
Iron_oxide,Systemic,IV,Spherical,Allograft heterotopic,Other,90.10225247
Iron_oxide,Systemic,IV,Spherical,Xenograft heterotopic,Colon,50.69124424
Iron_oxide,Local,Other,Spherical,Xenograft heterotopic,Brain,85.05747126
Iron_oxide,Systemic,Oral,Spherical,Allograft orthotopic,Colon,93.33333333
Iron_oxide,Systemic,IV,Spherical,Allograft orthotopic,Breast,80.99688474
Iron_oxide,Local,Other,Other,Xenograft heterotopic,Skin,88.35616438
Iron_oxide,Systemic,IV,Spherical,Xenograft heterotopic,Cervix,72.94117647
Iron_oxide,Systemic,IV,Spherical,Xenograft heterotopic,Lung,76
Iron_oxide,Local,Other,Spherical,Xenograft heterotopic,Pancreas,77.19298246
Iron_oxide,Systemic,IV,Spherical,Xenograft heterotopic,Cervix,69.66824645
Iron_oxide,Local,Other,Spherical,Xenograft heterotopic,Breast,95.65217391
Iron_oxide,Systemic,IV,Spherical,Allograft heterotopic,Breast,100
Iron_oxide,Systemic,IV,Spherical,Xenograft heterotopic,Cervix,92.88246912
Iron_oxide,Local,Intratumoral,Other,Xenograft heterotopic,Breast,86.81318681
Iron_oxide,Systemic,IV,Spherical,Xenograft heterotopic,Other,89.13624221
Iron_oxide,Systemic,IV,Spherical,Xenograft heterotopic,Prostate,58.06451613
Iron_oxide,Systemic,IV,Plate,Xenograft heterotopic,Cervix,86.77817603
Iron_oxide,Systemic,IV,Spherical,Xenograft heterotopic,Cervix,87.31231231
Iron_oxide,Systemic,IV,Plate,Allograft heterotopic,Breast,100
